1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
83.3969 	EXP 	window1: recordFrameIntervals = False
84.3754 	EXP 	fixation: autoDraw = True
85.3799 	EXP 	fixation: autoDraw = False
85.3959 	EXP 	grating: autoDraw = True
85.3959 	EXP 	grating: tex = 'sin'
85.6961 	EXP 	grating: autoDraw = False
85.8317 	EXP 	window1: recordFrameIntervals = False
85.8338 	DATA 	Keypress: left
85.8462 	EXP 	fixation: autoDraw = False
85.8462 	EXP 	grating: autoDraw = False
85.8463 	EXP 	window1: recordFrameIntervals = False
86.8241 	EXP 	fixation: autoDraw = True
87.8298 	EXP 	fixation: autoDraw = False
87.8466 	EXP 	grating: autoDraw = True
87.8466 	EXP 	grating: tex = 'sin'
88.1462 	EXP 	grating: autoDraw = False
88.2980 	EXP 	window1: recordFrameIntervals = False
88.3000 	DATA 	Keypress: left
88.3136 	EXP 	fixation: autoDraw = False
88.3136 	EXP 	grating: autoDraw = False
88.3137 	EXP 	window1: recordFrameIntervals = False
89.2907 	EXP 	fixation: autoDraw = True
90.2963 	EXP 	fixation: autoDraw = False
90.3136 	EXP 	grating: autoDraw = True
90.3136 	EXP 	grating: tex = 'sin'
90.6128 	EXP 	grating: autoDraw = False
90.7320 	EXP 	window1: recordFrameIntervals = False
90.7341 	DATA 	Keypress: left
90.7469 	EXP 	fixation: autoDraw = False
90.7469 	EXP 	grating: autoDraw = False
90.7470 	EXP 	window1: recordFrameIntervals = False
91.7252 	EXP 	fixation: autoDraw = True
92.7302 	EXP 	fixation: autoDraw = False
92.7468 	EXP 	grating: autoDraw = True
92.7468 	EXP 	grating: tex = 'sin'
93.0465 	EXP 	grating: autoDraw = False
93.1820 	EXP 	window1: recordFrameIntervals = False
93.1842 	DATA 	Keypress: right
93.1962 	EXP 	fixation: autoDraw = False
93.1962 	EXP 	grating: autoDraw = False
93.1963 	EXP 	window1: recordFrameIntervals = False
94.1749 	EXP 	fixation: autoDraw = True
95.1802 	EXP 	fixation: autoDraw = False
95.1802 	EXP 	grating: autoDraw = True
95.1802 	EXP 	grating: tex = 'sin'
95.4797 	EXP 	grating: autoDraw = False
95.5820 	EXP 	window1: recordFrameIntervals = False
95.5841 	DATA 	Keypress: left
95.5969 	EXP 	fixation: autoDraw = False
95.5969 	EXP 	grating: autoDraw = False
95.5970 	EXP 	window1: recordFrameIntervals = False
96.5749 	EXP 	fixation: autoDraw = True
97.5803 	EXP 	fixation: autoDraw = False
97.5971 	EXP 	grating: autoDraw = True
97.5971 	EXP 	grating: tex = 'sin'
97.8967 	EXP 	grating: autoDraw = False
98.0484 	EXP 	window1: recordFrameIntervals = False
98.0504 	DATA 	Keypress: left
98.0639 	EXP 	fixation: autoDraw = False
98.0639 	EXP 	grating: autoDraw = False
98.0640 	EXP 	window1: recordFrameIntervals = False
99.0411 	EXP 	fixation: autoDraw = True
100.0465 	EXP 	fixation: autoDraw = False
100.0465 	EXP 	grating: autoDraw = True
100.0465 	EXP 	grating: tex = 'sin'
100.3465 	EXP 	grating: autoDraw = False
100.4314 	EXP 	window1: recordFrameIntervals = False
100.4334 	DATA 	Keypress: right
100.4470 	EXP 	fixation: autoDraw = False
100.4470 	EXP 	grating: autoDraw = False
100.4471 	EXP 	window1: recordFrameIntervals = False
101.4241 	EXP 	fixation: autoDraw = True
102.4300 	EXP 	fixation: autoDraw = False
102.4300 	EXP 	grating: autoDraw = True
102.4300 	EXP 	grating: tex = 'sin'
102.7299 	EXP 	grating: autoDraw = False
102.7319 	EXP 	window1: recordFrameIntervals = False
102.7343 	DATA 	Keypress: right
102.7469 	EXP 	fixation: autoDraw = False
102.7469 	EXP 	grating: autoDraw = False
102.7470 	EXP 	window1: recordFrameIntervals = False
103.7245 	EXP 	fixation: autoDraw = True
104.7307 	EXP 	fixation: autoDraw = False
104.7307 	EXP 	grating: autoDraw = True
104.7307 	EXP 	grating: tex = 'sin'
105.0297 	EXP 	grating: autoDraw = False
105.1653 	EXP 	window1: recordFrameIntervals = False
105.1677 	DATA 	Keypress: left
105.1806 	EXP 	fixation: autoDraw = False
105.1806 	EXP 	grating: autoDraw = False
105.1807 	EXP 	window1: recordFrameIntervals = False
106.1582 	EXP 	fixation: autoDraw = True
107.1627 	EXP 	fixation: autoDraw = False
107.1799 	EXP 	grating: autoDraw = True
107.1799 	EXP 	grating: tex = 'sin'
107.4805 	EXP 	grating: autoDraw = False
107.4990 	EXP 	window1: recordFrameIntervals = False
107.5011 	DATA 	Keypress: right
107.5130 	EXP 	fixation: autoDraw = False
107.5130 	EXP 	grating: autoDraw = False
107.5131 	EXP 	window1: recordFrameIntervals = False
108.4916 	EXP 	fixation: autoDraw = True
109.4964 	EXP 	fixation: autoDraw = False
109.5135 	EXP 	grating: autoDraw = True
109.5135 	EXP 	grating: tex = 'sin'
109.8130 	EXP 	grating: autoDraw = False
109.9155 	EXP 	window1: recordFrameIntervals = False
109.9174 	DATA 	Keypress: left
109.9298 	EXP 	fixation: autoDraw = False
109.9298 	EXP 	grating: autoDraw = False
109.9299 	EXP 	window1: recordFrameIntervals = False
110.9084 	EXP 	fixation: autoDraw = True
111.9128 	EXP 	fixation: autoDraw = False
111.9299 	EXP 	grating: autoDraw = True
111.9299 	EXP 	grating: tex = 'sin'
112.2295 	EXP 	grating: autoDraw = False
112.3483 	EXP 	window1: recordFrameIntervals = False
112.3503 	DATA 	Keypress: right
112.3634 	EXP 	fixation: autoDraw = False
112.3634 	EXP 	grating: autoDraw = False
112.3635 	EXP 	window1: recordFrameIntervals = False
